会员编号,x,y,预订任务限额,预订任务开始时间,信誉值
B0036,23.089162,112.882467,51,6:33:00,2127.005
B0037,23.13759,113.381757,33,7:09:00,1980.8566
B0038,22.935859,113.683234,67,6:33:00,1937.4291
B0039,21.679227,110.922443,88,6:30:00,1691.0543
B0040,23.099656,113.487402,23,6:48:00,1650.2348
B0041,23.039077,113.133736,55,6:30:00,1523.3223
B0042,22.640977,114.061072,24,6:36:00,1507.8397
B0043,22.698914,113.818848,26,6:30:00,1498.9031
B0044,22.699085,113.79328,17,6:36:00,1493.9265
B0045,22.630761,114.088349,26,6:36:00,1474.9462
B0046,22.736419,114.275272,64,6:30:00,1430.8899
B0047,23.166269,113.21411,40,6:51:00,1366.1619
B0048,20.335061,110.178827,30,6:30:00,1365.3053
B0049,23.026671,113.314161,31,6:45:00,1256.9036
B0050,22.605016,114.134612,24,6:36:00,1179.1445
B0051,22.55258,114.131064,22,6:39:00,1125.7637
B0052,22.551065,113.906415,33,6:42:00,1078.8887
B0053,23.258526,113.320772,33,6:51:00,1054.1406
B0054,23.201831,113.329844,28,7:21:00,1047.2994
B0055,22.55234,114.004208,20,6:51:00,956.449
B0056,23.127808,113.268909,28,7:09:00,876.885
B0057,22.963677,113.668272,32,6:45:00,860.6575
B0058,22.546424,114.091551,20,6:45:00,819.5817
B0059,23.027282,113.321826,25,6:51:00,812.4732
B0060,22.649465,114.046196,16,6:51:00,802.9929
B0061,23.013316,113.764039,56,6:42:00,801.945
B0062,22.786188,113.89986,18,6:39:00,768.431
B0063,22.631265,114.088053,19,6:54:00,759.2893
B0064,22.59321,113.997232,17,7:06:00,758.6399
B0065,22.646966,114.054897,15,7:03:00,741.186
B0066,22.537631,113.921206,28,6:51:00,716.1536
B0067,22.945963,113.378949,17,6:45:00,692.4968
B0068,22.572454,113.900611,27,6:51:00,680.1682
B0069,23.138201,113.305131,1,6:36:00,661.4701
B0070,23.125711,113.266843,1,6:39:00,638.8183
B0071,22.921069,114.011611,5,7:00:00,636.5533
B0072,23.085993,113.286892,20,7:18:00,631.8731
B0073,23.201472,113.328149,21,7:27:00,607.9601
B0074,23.107633,113.934697,48,6:30:00,585.3526
B0075,23.05819,113.382202,17,7:18:00,578.4185
B0076,22.631295,114.088048,16,7:03:00,577.3317
B0077,23.04938,113.170711,27,6:42:00,557.8477
B0078,22.832066,113.717908,10,6:36:00,544.8401
B0079,22.746146,113.845129,13,6:48:00,544.5673
B0080,22.695229,114.235036,34,6:33:00,537.6568
B0081,23.023983,113.113357,41,6:36:00,533.4239
B0082,21.202247,110.417157,29,6:39:00,527.6239
B0083,23.025897,113.317272,20,7:03:00,526.7561
B0084,22.559031,114.133815,15,6:57:00,512.8802
B0085,23.134029,113.380696,1,6:45:00,498.2218
B0086,22.979376,113.359597,15,6:57:00,479.3786
B0087,22.617332,114.046699,12,7:18:00,466.0196
B0088,23.110206,113.840149,36,6:45:00,464.8392
B0089,23.467117,113.36579,19,6:33:00,463.2336
B0090,22.661854,114.02758,12,7:00:00,462.5524
B0091,22.805765,113.580688,58,6:30:00,456.8141
B0092,22.573973,114.118394,14,7:06:00,443.4528
B0093,23.048773,113.320775,16,7:27:00,438.3089
B0094,22.654465,114.042558,12,7:12:00,432.0017
B0095,23.08834,113.811783,42,6:48:00,430.3396
B0096,23.042076,113.088167,36,6:39:00,425.5539
B0097,22.715649,114.266454,34,6:36:00,419.474
B0098,23.102272,113.314206,15,7:51:00,409.9957
B0099,22.957762,113.885591,40,6:30:00,404.3689
B0100,22.735681,114.276218,34,6:39:00,401.2549
B0101,22.566656,114.048785,11,7:27:00,389.3617
B0102,22.605696,114.052535,11,7:30:00,388.9843
B0103,22.528087,114.053445,12,7:06:00,385.9114
B0104,22.557073,114.093619,1,6:30:00,371.5909
B0105,22.663709,114.02819,10,7:15:00,358.6164
B0106,22.600908,114.124103,13,7:24:00,355.7476
B0107,22.702596,113.841585,10,6:51:00,339.6894
B0108,23.133346,113.288213,1,6:54:00,325.9203
B0109,23.371734,113.249841,33,6:33:00,322.1326
B0110,23.060244,113.228424,15,7:18:00,318.7701
B0111,23.025509,113.136987,29,6:45:00,318.7701
B0112,23.131169,113.297453,16,7:39:00,317.5724
B0113,22.55917,113.964202,16,7:21:00,317.3112
B0114,22.571019,114.063028,10,7:42:00,316.9499
B0115,23.019708,113.088886,1,6:30:00,313.7988
B0116,22.602495,114.120857,12,7:30:00,310.1361
B0117,23.291608,113.311949,17,6:54:00,308.6912
B0118,22.526055,113.932399,18,7:00:00,308.3529
B0119,22.957819,113.885455,32,6:33:00,289.7356
B0120,23.136869,113.252176,17,7:33:00,287.4723
B0121,22.5606,113.914169,17,7:03:00,286.1964
B0122,23.02382,113.12482,22,7:06:00,284.9008
B0123,23.170052,112.896012,14,6:36:00,271.4754
B0124,23.192579,113.347404,14,7:42:00,263.7415
B0125,22.609184,114.036224,1,6:33:00,255.3604
B0126,23.096916,113.284093,11,7:57:00,246.9617
B0127,22.58338,114.132395,1,6:36:00,243.7428
B0128,22.737832,113.824021,8,6:54:00,243.0345
B0129,22.669148,113.923368,11,7:00:00,240.7228
B0130,22.697751,114.227313,22,6:45:00,239.112
B0131,22.634345,114.079336,10,7:39:00,239.0776
B0132,23.017262,113.334856,15,7:18:00,239.0776
B0133,23.035953,113.163214,19,6:54:00,236.2993
B0134,22.615165,114.168801,12,7:09:00,234.2849
B0135,22.999192,114.343194,42,6:30:00,233.9414
B0136,24.80413,113.605786,23,6:36:00,229.1596
B0137,23.107527,113.14625,22,6:51:00,225.3733
B0138,22.670303,114.139487,11,7:24:00,225.2535
B0139,22.667193,114.020917,7,7:30:00,223.4477
B0140,23.626787,113.43641,13,6:30:00,219.9701
B0141,22.653315,114.029516,8,7:36:00,219.7008
B0142,22.62607,114.073376,10,7:57:00,218.2444
B0143,22.644142,113.867745,11,7:15:00,213.7231
B0144,23.055061,113.744384,25,7:03:00,213.5504
B0145,22.633177,114.230291,19,6:54:00,212.6327
B0146,22.980661,114.002005,14,6:33:00,200.0799
B0147,23.174499,113.263282,13,7:42:00,199.2313
B0148,22.93804,113.665746,20,6:42:00,199.2313
B0149,22.845506,113.269551,63,6:30:00,199.2313
B0150,22.563546,114.138399,9,7:39:00,197.6011
B0151,22.6656,114.20803,18,7:06:00,196.782
B0152,23.133276,113.249702,14,7:48:00,195.401
B0153,23.11803,113.362287,10,8:00:00,192.2122
B0154,22.919953,113.213961,1,6:30:00,191.2621
B0155,22.705938,114.091435,9,7:21:00,190.1459
B0156,22.654493,114.042605,8,7:57:00,188.7821
B0157,22.995646,114.006372,13,6:39:00,183.7939
B0158,23.022885,113.826933,26,6:57:00,183.2365
B0159,22.624889,114.152166,1,6:36:00,181.9852
B0160,23.224528,113.317468,11,7:45:00,181.2249
B0161,22.741636,114.266652,1,6:30:00,180.201
B0162,23.054148,113.294756,10,7:51:00,179.3082
B0163,22.674691,113.796497,1,6:30:00,179.3082
B0164,22.966344,113.092801,13,7:21:00,179.3082
B0165,23.156692,113.328526,13,8:00:00,174.7604
B0166,23.190577,113.251884,12,7:45:00,171.1987
B0167,23.010914,113.733551,23,7:03:00,171.1253
B0168,23.072207,113.112958,23,6:51:00,169.0116
B0169,23.101558,113.314506,10,8:00:00,168.3819
B0170,23.012481,113.083899,23,6:54:00,168.3546
B0171,22.611218,114.159207,9,7:36:00,159.3851
B0172,23.1306,113.241295,14,7:57:00,159.3851
B0173,22.619846,114.107034,9,8:00:00,157.4156
B0174,22.55123,114.093465,8,7:48:00,152.1497
B0175,22.506225,113.945301,1,6:30:00,151.7244
B0176,22.657811,114.029555,7,7:51:00,151.7204
B0177,23.016933,113.149007,21,7:00:00,151.5345
B0178,22.630003,114.154938,10,7:45:00,151.4158
B0179,22.800524,113.828908,7,6:51:00,151.4158
B0180,23.120203,113.136969,17,7:00:00,149.86
B0181,23.293868,113.372001,12,6:51:00,149.0707
B0182,23.034994,113.749133,22,7:12:00,148.8489
B0183,23.045704,113.49505,7,6:51:00,148.5654
B0184,23.106751,113.312493,9,8:00:00,147.3951
B0185,23.039656,113.718566,12,6:45:00,145.8889
B0186,23.0391,113.13376,20,7:06:00,145.195
B0187,23.226408,113.272284,10,7:48:00,142.0646
B0188,22.665157,114.030232,6,7:51:00,140.7584
B0189,22.621808,114.031797,7,8:00:00,139.4619
B0190,22.628276,114.159413,9,7:48:00,139.4619
B0191,23.103618,113.375591,8,8:00:00,139.4619
B0192,23.019975,113.339842,11,7:36:00,138.8561
B0193,22.919974,113.213898,1,6:33:00,135.7602
B0194,22.619739,114.107025,8,8:00:00,134.8147
B0195,22.965764,114.035832,12,6:36:00,134.5708
B0196,22.676151,114.014881,1,6:33:00,132.103
B0197,22.960617,113.701495,15,7:06:00,130.7752
B0198,23.106792,113.312499,9,8:00:00,127.508
B0199,22.520804,113.942816,12,7:06:00,126.9857
B0200,22.980092,113.017895,24,6:42:00,123.5234
B0201,23.558419,113.614671,30,6:30:00,120.3874
B0202,22.638154,114.202461,13,7:33:00,119.5388
B0203,22.723878,113.903337,7,7:00:00,119.5388
B0204,22.551842,114.131407,7,8:00:00,119.5388
B0205,23.097481,113.269269,8,8:00:00,119.5388
B0206,22.69495,114.231992,1,6:36:00,119.5388
B0207,23.127013,113.399742,7,8:00:00,119.5388
B0208,22.982071,114.032407,11,6:42:00,119.5388
B0209,22.97076,113.99635,9,6:42:00,119.5388
B0210,22.928824,112.939739,30,6:33:00,119.5388
B0211,23.227075,113.293212,9,7:57:00,115.9629
B0212,23.146568,113.346826,1,7:06:00,115.7718
B0213,23.212972,113.391595,8,7:42:00,115.646
B0214,23.143901,113.299725,10,8:00:00,115.5542
B0215,23.060158,113.777571,25,7:06:00,115.5408
B0216,23.03343,113.14227,18,7:15:00,114.8859
B0217,23.019462,113.077555,16,7:27:00,114.4205
B0218,22.563803,114.040747,6,8:00:00,112.9106
B0219,23.444281,113.196688,24,6:33:00,112.1376
B0220,23.467101,113.365807,9,6:36:00,111.5695
B0221,22.589193,113.973194,9,8:00:00,110.69
B0222,23.065583,113.585017,7,6:48:00,108.7365
B0223,23.100414,113.295104,8,8:00:00,106.4804
B0224,23.075797,113.288044,8,8:00:00,105.5926
B0225,23.340387,113.303661,12,6:45:00,105.5176
B0226,23.073486,113.170439,11,7:39:00,105.3559
B0227,23.018177,113.341384,9,7:51:00,104.1227
B0228,22.576181,114.113145,7,8:00:00,103.6003
B0229,23.037115,113.117726,17,7:18:00,103.0065
B0230,22.657617,114.207759,13,7:30:00,102.08
B0231,22.615435,114.123207,7,8:00:00,102.0617
B0232,23.484326,113.205374,23,6:33:00,101.608
B0233,22.773827,114.329945,18,6:42:00,99.6157
B0234,23.309835,113.36433,11,7:00:00,99.6157
B0235,22.588494,113.949223,9,8:00:00,99.6157
B0236,22.73834,113.814489,5,7:06:00,99.6157
B0237,23.042795,113.30588,8,8:00:00,99.6157
B0238,22.617982,114.118918,7,8:00:00,99.6157
B0239,22.729964,114.297779,15,6:57:00,99.6157
B0240,23.207391,113.335702,9,8:00:00,99.6157
B0241,23.051221,113.787943,19,7:15:00,99.6157
B0242,22.832479,113.061531,3,6:42:00,99.6157
B0243,22.796875,113.771143,4,7:00:00,97.0036
B0244,22.801349,113.714482,1,6:30:00,94.9628
B0245,22.763973,113.813969,5,7:09:00,94.8781
B0246,23.114455,113.31211,8,8:00:00,93.5386
B0247,23.205772,113.270594,1,7:09:00,93.2156
B0248,23.007204,113.12903,16,7:15:00,93.1884
B0249,23.396767,113.255106,18,6:45:00,92.9875
B0250,22.683833,114.002003,5,7:54:00,92.8451
B0251,22.537617,114.120387,7,8:00:00,92.144
B0252,23.014185,113.648114,14,7:00:00,91.5635
B0253,22.720184,114.275458,16,7:03:00,88.7475
B0254,23.132941,113.338573,9,8:00:00,88.1576
B0255,23.112296,113.127154,14,7:21:00,87.1681
B0256,23.041392,113.75766,1,6:30:00,86.2996
B0257,23.0946,113.284436,7,8:00:00,85.6695
B0258,22.676474,113.821783,1,6:33:00,84.414
B0259,22.964203,113.088383,15,7:12:00,84.0491
B0260,22.540942,114.073682,7,8:00:00,83.6772
B0261,23.064767,113.05448,13,7:36:00,83.6772
B0262,22.684504,113.951115,6,7:33:00,82.9086
B0263,22.563444,114.127943,6,8:00:00,82.3088
B0264,23.160089,113.240921,10,8:00:00,79.6925
B0265,23.068369,113.261283,7,8:00:00,79.6925
B0266,23.212104,113.291573,7,8:00:00,79.6925
B0267,23.194579,113.273734,8,8:00:00,79.6925
B0268,22.591387,114.124439,1,6:42:00,79.6925
B0269,23.097546,113.33598,1,7:12:00,79.6925
B0270,23.093079,113.278148,1,7:09:00,79.6925
B0271,23.442511,113.327665,9,6:45:00,79.6925
B0272,22.536425,113.948822,9,7:27:00,79.6925
B0273,22.757872,113.913137,5,7:15:00,79.6925
B0274,22.572146,113.904177,9,7:18:00,79.6925
B0275,23.207769,113.379643,7,7:57:00,79.6925
B0276,23.133812,113.270935,1,7:12:00,79.6925
B0277,23.110957,113.460126,5,7:15:00,79.6925
B0278,22.631729,114.119678,6,8:00:00,79.6925
B0279,22.572337,114.121094,1,6:42:00,79.6925
B0280,23.148396,113.293411,8,8:00:00,79.6925
B0281,23.137481,113.283015,8,8:00:00,79.6925
B0282,23.381258,113.220174,16,6:45:00,79.6925
B0283,22.693376,113.941047,6,7:24:00,79.6925
B0284,23.141344,113.343578,8,8:00:00,79.6925
B0285,22.651485,114.110239,6,8:00:00,79.6925
B0286,23.150785,113.332625,9,8:00:00,79.6925
B0287,23.247414,113.316081,9,7:42:00,79.6925
B0288,22.550214,114.092453,6,8:00:00,79.6925
B0289,23.144206,113.240874,10,8:00:00,79.6925
B0290,22.910687,113.999879,8,6:48:00,79.6925
B0291,22.878442,113.821749,6,6:48:00,79.6925
B0292,22.80034,113.828038,5,7:06:00,79.6925
B0293,22.947805,113.274358,8,7:03:00,79.6925
B0294,22.821221,113.052974,5,6:33:00,79.6925
B0295,23.037111,113.134501,11,8:00:00,79.6925
B0296,22.887126,113.401686,14,6:36:00,75.3616
B0297,22.960802,113.335749,5,7:24:00,73.2507
B0298,23.063445,113.774572,20,7:09:00,71.7233
B0299,22.939187,113.746074,17,7:03:00,70.9796
B0300,22.665838,114.068923,5,8:00:00,64.7502
B0301,22.568389,113.90155,8,7:21:00,64.292
B0302,22.592527,113.846444,13,7:03:00,61.7617
B0303,23.40515,113.228722,13,6:54:00,60.12
B0304,23.26376,113.258772,7,7:42:00,59.7694
B0305,23.137429,113.282856,7,8:00:00,59.7694
B0306,23.136755,113.393612,1,7:09:00,59.7694
B0307,23.13592,113.315173,7,8:00:00,59.7694
B0308,23.137578,113.282935,7,8:00:00,59.7694
B0309,23.254296,113.315659,8,7:57:00,59.7694
B0310,23.120306,113.268304,6,8:00:00,59.7694
B0311,23.126948,113.27424,7,8:00:00,59.7694
B0312,23.151009,113.551515,1,6:30:00,59.7694
B0313,23.077633,113.289146,6,8:00:00,59.7694
B0314,22.692574,114.224224,11,7:21:00,59.7694
B0315,22.936494,113.359285,6,7:15:00,59.7694
B0316,23.124292,113.357872,6,8:00:00,59.7694
B0317,22.944615,113.403347,5,7:12:00,59.7694
B0318,22.676503,114.019311,3,8:00:00,59.7694
B0319,23.164734,113.229295,8,8:00:00,59.7694
B0320,23.104198,113.363252,6,8:00:00,59.7694
B0321,22.735438,114.284747,13,7:03:00,59.7694
B0322,22.540448,114.066268,1,6:48:00,59.7694
B0323,22.686066,113.993061,4,8:00:00,59.7694
B0324,22.633013,114.041198,4,8:00:00,59.7694
B0325,22.721816,114.265177,13,7:06:00,59.7694
B0326,22.549107,114.128361,5,8:00:00,59.7694
B0327,23.10824,113.26614,6,8:00:00,59.7694
B0328,22.612929,114.137262,5,8:00:00,59.7694
B0329,22.543915,114.058444,5,8:00:00,59.7694
B0330,23.126053,113.401054,5,8:00:00,59.7694
B0331,22.523461,114.047879,5,8:00:00,59.7694
B0332,22.688779,113.944955,5,7:42:00,59.7694
B0333,22.735666,113.908071,5,7:27:00,59.7694
B0334,23.124435,113.338799,6,8:00:00,59.7694
B0335,22.588207,113.906852,8,7:39:00,59.7694
B0336,23.054901,113.768854,18,7:15:00,59.7694
B0337,23.173781,112.864304,1,6:30:00,59.7694
B0338,23.118702,113.132484,11,7:27:00,59.7694
B0339,23.040919,113.132589,10,8:00:00,59.7694
B0340,23.004923,113.157507,13,7:27:00,59.7694
B0341,23.072993,113.209,1,6:51:00,59.7694
B0342,22.99238,113.126195,13,7:24:00,59.7694
B0343,23.287294,113.625475,12,6:30:00,59.2557
B0344,23.181232,113.51278,3,6:48:00,58.2166
B0345,22.620732,114.142503,5,8:00:00,57.6201
B0346,22.654518,114.042548,4,8:00:00,57.1467
B0347,22.979873,113.314866,1,6:30:00,56.9125
B0348,23.13475,113.392481,1,7:15:00,56.9125
B0349,22.985329,113.719121,12,7:30:00,55.7674
B0350,22.615454,114.123113,5,8:00:00,55.7056
B0351,23.065181,113.15496,12,7:45:00,55.5474
B0352,22.624165,114.044003,4,8:00:00,55.5456
B0353,23.107515,113.457024,4,7:33:00,53.5749
B0354,22.573093,113.960327,6,8:00:00,53.1584
B0355,22.5738,113.9662,6,8:00:00,52.5572
B0356,22.605395,114.127734,5,8:00:00,51.807
B0357,22.555394,114.118897,5,8:00:00,50.3799
B0358,22.52894,114.07265,5,8:00:00,49.6626
B0359,23.064412,113.447505,4,7:39:00,49.648
B0360,23.032306,113.156795,12,7:54:00,49.3891
B0361,23.125804,113.4009,4,8:00:00,48.5795
B0362,23.009643,113.143825,12,7:45:00,47.8155
B0363,23.026036,113.31943,6,8:00:00,46.5355
B0364,23.123308,113.409223,4,8:00:00,46.3032
B0365,23.096891,113.304406,5,8:00:00,46.2113
B0366,23.098008,113.236094,6,8:00:00,46.0497
B0367,23.203413,113.229464,6,8:00:00,45.8232
B0368,22.672999,114.227576,10,7:39:00,45.6855
B0369,22.703545,113.944387,4,7:54:00,45.4946
B0370,22.614072,114.148979,5,8:00:00,45.105
B0371,23.11072,113.274436,5,8:00:00,44.3144
B0372,23.087139,113.278892,5,8:00:00,44.1162
B0373,23.179085,113.232562,7,8:00:00,43.8309
B0374,23.141318,113.400417,5,8:00:00,43.8033
B0375,22.716905,114.388943,5,6:39:00,42.8347
B0376,23.091655,113.336944,5,8:00:00,42.3704
B0377,23.318118,113.363802,7,7:03:00,42.1776
B0378,23.377337,113.214543,11,6:51:00,41.8386
B0379,23.126861,113.267994,6,8:00:00,41.8386
B0380,22.524485,113.949348,7,7:51:00,41.8386
B0381,23.196752,113.347108,5,8:00:00,41.8386
B0382,22.831844,113.696638,3,6:42:00,41.8386
B0383,22.678983,114.004376,4,8:00:00,41.8386
B0384,23.040397,113.158358,10,8:00:00,41.8386
B0385,23.15374,112.905005,7,6:39:00,41.8386
B0386,22.675887,113.807281,6,7:03:00,40.0001
B0387,22.625597,114.034519,3,8:00:00,39.9479
B0388,22.545463,113.92639,1,6:33:00,39.8463
B0389,23.458749,113.193986,14,6:51:00,39.8463
B0390,22.540878,114.085845,5,8:00:00,39.8463
B0391,22.559842,114.118199,4,8:00:00,39.8463
B0392,23.212488,113.292305,5,8:00:00,39.8463
B0393,23.13516,113.337886,6,8:00:00,39.8463
B0394,23.105198,113.276884,5,8:00:00,39.8463
B0395,23.095225,113.365248,4,8:00:00,39.8463
B0396,23.193444,113.370323,5,8:00:00,39.8463
B0397,22.565797,114.123028,4,8:00:00,39.8463
B0398,23.001787,113.352865,6,8:00:00,39.8463
B0399,22.728736,114.264305,1,6:36:00,39.8463
B0400,23.373834,113.433356,5,6:45:00,39.8463
B0401,23.135971,113.386713,5,8:00:00,39.8463
B0402,22.646861,114.009774,1,6:39:00,39.8463
B0403,22.679169,113.938947,5,8:00:00,39.8463
B0404,23.10584,113.271284,5,8:00:00,39.8463
B0405,22.659864,114.120275,5,8:00:00,39.8463
B0406,22.708022,113.815302,3,7:24:00,39.8463
B0407,22.550248,114.092534,4,8:00:00,39.8463
B0408,22.547093,113.978106,1,6:39:00,39.8463
B0409,22.56253,114.094441,1,6:51:00,39.8463
B0410,23.148314,113.293349,1,7:36:00,39.8463
B0411,22.550907,114.133295,1,6:51:00,39.8463
B0412,23.141977,113.236106,7,8:00:00,39.8463
B0413,23.17077,113.386429,5,8:00:00,39.8463
B0414,23.10288,113.240445,6,8:00:00,39.8463
B0415,22.531248,114.074777,5,8:00:00,39.8463
B0416,22.566277,114.057247,1,6:51:00,39.8463
B0417,22.937503,113.472495,12,6:39:00,39.8463
B0418,22.780596,114.297116,10,7:06:00,39.8463
B0419,22.693761,114.225501,9,7:45:00,39.8463
B0420,22.607315,114.111315,4,8:00:00,39.8463
B0421,23.203141,113.341529,5,8:00:00,39.8463
B0422,22.609728,114.121268,4,8:00:00,39.8463
B0423,22.571192,114.040503,3,8:00:00,39.8463
B0424,23.132668,113.286578,6,8:00:00,39.8463
B0425,22.581488,113.877354,6,7:42:00,39.8463
B0426,22.681384,113.835816,5,7:21:00,39.8463
B0427,22.626028,114.152468,5,8:00:00,39.8463
B0428,23.439895,113.272345,9,7:06:00,39.8463
B0429,23.142616,113.293306,6,8:00:00,39.8463
B0430,23.279398,113.215721,9,7:18:00,39.8463
B0431,22.553907,113.974574,6,8:00:00,39.8463
B0432,22.573458,114.118823,4,8:00:00,39.8463
B0433,23.112827,113.280243,1,7:27:00,39.8463
B0434,22.991592,113.723135,1,6:33:00,39.8463
B0435,23.333676,113.393497,5,6:57:00,39.8463
B0436,22.537562,113.937039,7,7:45:00,39.8463
B0437,22.608568,113.853501,1,6:36:00,39.8463
B0438,23.223677,113.236506,6,8:00:00,39.8463
B0439,23.101533,113.281233,1,7:27:00,39.8463
B0440,22.539697,113.911861,7,7:39:00,39.8463
B0441,22.521439,113.930063,1,6:33:00,39.8463
B0442,22.541419,114.109829,4,8:00:00,39.8463
B0443,22.521505,113.932276,6,7:39:00,39.8463
B0444,23.41147,113.192208,15,6:51:00,39.8463
B0445,22.586891,113.869516,6,7:42:00,39.8463
B0446,23.105474,113.487867,4,7:27:00,39.8463
B0447,22.537286,114.075432,1,6:51:00,39.8463
B0448,22.54842,114.089112,4,8:00:00,39.8463
B0449,22.67597,114.041621,3,8:00:00,39.8463
B0450,23.122523,113.401998,4,8:00:00,39.8463
B0451,22.656474,114.026536,1,6:45:00,39.8463
B0452,22.69798,113.82128,4,7:15:00,39.8463
B0453,23.168829,113.325786,1,7:39:00,39.8463
B0454,22.65703,114.218155,1,6:48:00,39.8463
B0455,23.214644,113.262955,5,8:00:00,39.8463
B0456,23.192039,113.348428,5,8:00:00,39.8463
B0457,22.566805,113.926733,6,7:42:00,39.8463
B0458,22.557264,114.054618,4,8:00:00,39.8463
B0459,23.136778,113.393584,1,7:18:00,39.8463
B0460,23.102809,113.235305,6,8:00:00,39.8463
B0461,23.349518,113.299053,7,7:18:00,39.8463
B0462,22.716731,113.835882,4,7:30:00,39.8463
B0463,22.767485,113.900599,4,7:33:00,39.8463
B0464,23.126049,113.321041,6,8:00:00,39.8463
B0465,23.061671,113.2262,5,8:00:00,39.8463
B0466,23.138925,113.378918,5,8:00:00,39.8463
B0467,22.726808,113.904246,4,7:39:00,39.8463
B0468,22.681319,113.949623,5,8:00:00,39.8463
B0469,22.606031,114.126707,4,8:00:00,39.8463
B0470,22.760543,113.922454,4,7:36:00,39.8463
B0471,23.117189,113.362763,5,8:00:00,39.8463
B0472,21.498823,111.106315,1,6:30:00,39.8463
B0473,22.794154,113.385011,1,6:30:00,39.8463
B0474,22.622065,114.121736,4,8:00:00,39.8463
B0475,22.538354,113.977801,6,8:00:00,39.8463
B0476,23.108233,113.265912,5,8:00:00,39.8463
B0477,23.098874,113.328971,5,8:00:00,39.8463
B0478,22.752553,114.026436,4,7:30:00,39.8463
B0479,23.149311,113.28236,6,8:00:00,39.8463
B0480,22.619595,114.229209,7,7:36:00,39.8463
B0481,22.559059,114.158556,1,6:48:00,39.8463
B0482,22.694935,113.844956,4,7:27:00,39.8463
B0483,23.115144,113.25955,5,8:00:00,39.8463
B0484,22.637062,114.076561,4,8:00:00,39.8463
B0485,23.017785,114.039199,6,6:57:00,39.8463
B0486,22.869974,113.67508,3,7:00:00,39.8463
B0487,22.86985,114.131288,9,6:33:00,39.8463
B0488,22.801963,113.721845,3,6:54:00,39.8463
B0489,23.121891,113.824454,12,7:06:00,39.8463
B0490,23.065028,113.900075,12,6:48:00,39.8463
B0491,22.92074,114.012363,6,6:54:00,39.8463
B0492,22.79723,114.080272,9,6:33:00,39.8463
B0493,23.041766,113.733323,1,6:33:00,39.8463
B0494,22.983841,113.929266,9,6:51:00,39.8463
B0495,23.037111,113.886441,15,6:51:00,39.8463
B0496,23.048678,113.7786,14,7:21:00,39.8463
B0497,22.811692,113.682766,1,6:33:00,39.8463
B0498,22.883376,114.119983,9,6:36:00,39.8463
B0499,22.938454,113.807922,14,7:00:00,39.8463
B0500,22.877674,113.082808,11,6:39:00,39.8463
B0501,23.230059,113.08838,10,6:30:00,39.8463
B0502,22.91514,112.872049,19,6:33:00,39.8463
B0503,23.002962,113.13325,10,7:51:00,39.8463
B0504,23.054569,112.923115,8,6:39:00,39.8463
B0505,22.906752,113.167485,19,6:42:00,39.8463
B0506,22.946631,113.282171,5,7:18:00,39.8463
B0507,22.877588,113.082854,11,6:39:00,39.8463
B0508,22.908228,113.224487,18,6:45:00,39.0864
B0509,22.963037,113.107354,10,7:57:00,38.4497
B0510,22.743173,114.139952,4,8:00:00,38.0205
B0511,22.602344,114.059629,4,8:00:00,37.8577
B0512,22.665991,114.06549,4,8:00:00,36.4665
B0513,22.913183,113.845955,10,6:51:00,34.7793
B0514,22.801749,113.75284,3,7:21:00,34.0831
B0515,22.949361,113.383475,1,6:33:00,34.0692
